#round,#num_clusters,Mean Absolute Error
1.0,6.0,2.0
2.0,5.0,2.8
3.0,6.0,3.6
4.0,5.0,3.2
5.0,4.0,2.0
6.0,5.0,0.8
7.0,6.0,3.0
8.0,6.0,1.8
9.0,6.0,1.6
10.0,6.0,2.4
11.0,5.0,2.2
12.0,6.0,0.8
13.0,5.0,1.4
14.0,5.0,1.4
15.0,5.0,0.8
16.0,6.0,4.0
17.0,6.0,2.0
18.0,7.0,2.2
19.0,6.0,1.8
20.0,6.0,1.4
21.0,7.0,2.0
22.0,7.0,2.8
23.0,5.0,2.4
24.0,5.0,3.4
25.0,5.0,3.4
26.0,6.0,1.8
27.0,6.0,5.0
28.0,5.0,3.4
29.0,5.0,2.0
30.0,6.0,2.4
31.0,6.0,1.0
32.0,5.0,1.2
33.0,7.0,2.8
34.0,6.0,1.8
35.0,6.0,1.8
36.0,5.0,0.8
37.0,7.0,2.6
38.0,6.0,3.0
39.0,5.0,3.6
40.0,6.0,2.4
